CSV-Export;Version, 1,01;Separator, Semicolon

;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700
;15751;15751;15751;15751;15751;15751
TimeStamp;ExlSolIrr;IntSolIrr;SMA-h-On;TmpAmb C;TmpMdul C;WindVel m/s
hh,mm;W/m^2;W/m^2;h;°C;°C;m/s
09,50;0;593,79;1054,06;-273,17;38,76;0
09,55;0;529,85;1054,14;-273,17;41,99;0
10,00;0;524,91;1054,23;-273,17;42,58;0
10,05;0;461,59;1054,31;-273,17;42,58;0
10,10;0;483,38;1054,39;-273,17;41,92;0
10,15;0;356,74;1054,47;-273,17;42,03;0
10,20;0;358,85;1054,56;-273,17;41,11;0
10,25;0;557,88;1054,64;-273,17;41,31;0
10,30;0;371,68;1054,72;-273,17;41,67;0
10,35;0;588,95;1054,8;-273,17;42,35;0
10,40;0;584,84;1054,89;-273,17;44,09;0
10,45;0;474,11;1054,97;-273,17;44,2;0
10,50;0;564,23;1055,05;-273,17;44,29;0
10,55;0;352,38;1055,14;-273,17;44,35;0
11,00;0;294,4;1055,22;-273,17;41,13;0
11,05;0;580,13;1055,3;-273,17;41,93;0
11,10;0;326,08;1055,38;-273,17;43,1;0
11,15;0;379,28;1055,47;-273,17;41,3;0
11,20;0;450,5;1055,55;-273,17;41,38;0
11,25;0;555,22;1055,63;-273,17;43,23;0
11,30;0;257,4;1055,71;-273,17;42,75;0
11,35;0;212,34;1055,8;-273,17;40,07;0
11,40;0;240,3;1055,88;-273,17;38,68;0
11,45;0;260,11;1055,96;-273,17;37,58;0
11,50;0;215,03;1056,04;-273,17;37,2;0
11,55;0;243,29;1056,13;-273,17;36,69;0
12,00;0;259,58;1056,21;-273,17;36,75;0
12,05;0;340,18;1056,29;-273,17;37,45;0
12,10;0;391,53;1056,38;-273,17;39,44;0
12,15;0;435,3;1056,46;-273,17;41,07;0
12,20;0;445,3;1056,54;-273,17;42,85;0
12,25;0;523,91;1056,62;-273,17;42,91;0
12,30;0;631,59;1056,71;-273,17;45,92;0
12,35;0;297,59;1056,79;-273,17;46,07;0
12,40;0;132,28;1056,87;-273,17;41,65;0
12,45;0;123,3;1056,95;-273,17;37,94;0
12,50;0;121,66;1057,04;-273,17;35,85;0
12,55;0;116,78;1057,12;-273,17;33,46;0
13,00;0;298,99;1057,2;-273,17;31,63;0
13,05;0;232,59;1057,28;-273,17;31,41;0
13,10;0;184,91;1057,37;-273,17;31,2;0
13,15;0;146,51;1057,45;-273,17;31,56;0
13,20;0;142,33;1057,53;-273,17;31,78;0
13,25;0;135,97;1057,62;-273,17;32,06;0
13,30;0;150,07;1057,7;-273,17;31,93;0
13,35;0;133,89;1057,78;-273,17;31,52;0
13,40;0;197,17;1057,86;-273,17;32,05;0
13,45;0;242,92;1057,95;-273,17;32,96;0
13,50;0;273,84;1058,03;-273,17;34,43;0
13,55;0;260,48;1058,11;-273,17;35,43;0
14,00;0;356,99;1058,19;-273,17;36,49;0
14,05;0;560,24;1058,28;-273,17;38,74;0
14,10;0;366,22;1058,36;-273,17;41,94;0
14,15;0;69,25;1058,44;-273,17;38,89;0
14,20;0;85,73;1058,53;-273,17;34,54;0
14,25;0;166,4;1058,61;-273,17;32,56;0
14,30;0;207,04;1058,69;-273,17;33,05;0
14,35;0;206,36;1058,77;-273,17;33,3;0
14,40;0;204,82;1058,86;-273,17;33,24;0
14,45;0;259,68;1058,94;-273,17;33,76;0
14,50;0;294,53;1059,02;-273,17;34,59;0
14,55;0;287,22;1059,1;-273,17;35,84;0
15,00;0;247,84;1059,19;-273,17;36,17;0
15,05;0;275,52;1059,27;-273,17;36,09;0
15,10;0;279,12;1059,35;-273,17;37,25;0
15,15;0;225,2;1059,43;-273,17;37,06;0
15,20;0;211,08;1059,52;-273,17;36,72;0
15,25;0;206,4;1059,6;-273,17;36,26;0
15,30;0;139,04;1059,68;-273,17;35,24;0
15,35;0;139,88;1059,77;-273,17;34,02;0
15,40;0;146,87;1059,85;-273,17;33,52;0
15,45;0;187,87;1059,93;-273,17;33,49;0
15,50;0;96,29;1060,01;-273,17;33,32;0
15,55;0;41,53;1060,1;-273,17;32,16;0
16,00;0;13,88;1060,18;-273,17;30,48;0
16,05;0;6,63;1060,26;-273,17;28,45;0
16,10;0;8,39;1060,34;-273,17;26,45;0
16,15;0;15,25;1060,43;-273,17;25,17;0
16,20;0;26,92;1060,51;-273,17;24,75;0
16,25;0;40,22;1060,59;-273,17;24,81;0
16,30;0;51,98;1060,67;-273,17;25,08;0
16,35;0;49,93;1060,76;-273,17;25,32;0
16,40;0;33,2;1060,84;-273,17;25,21;0
16,45;0;23,82;1060,92;-273,17;24,98;0
